,Desarrollo,Entrega,Dirección,Cantidad de unidades,Master Broker
1,Veranto,Inmediata,Calle 14 Nte 35 Av ,53,DESUR
1,Via Quxtal,Fase 1: Mayo-2021,Detrás Liverpool,73,MN INMOBILIARIA
1,Volta,Mayo-2022,Calle 26 entre 5ta y 10 Av,60,IMMO
1,Wave Living,Marzo-2021,Calle 39 Sur esq con Diagonal 80,,
1,XKaa,Diciembre-2022,Calle 58 entre Av 10 y 5ta,22,SMART INVESTMENT OPPORTUNITIES
1,Yaakun Condos,Septiembre-2021,Av 45 esq Calle 26,,ROYAL CASA
1,Yantra Lofts,Verano-2021,Calle 36 entre Av 30 y Av 35,20,EVOKE
1,Yashal Ha,Inmediata,Calle 38 esq Av 20,23,
1,Yaxche,Agosto-2022,Av. 45 con calle 26,59,HEI REALTOR
1,Zazil 20,Inmediata,Av. 20 con calle 42,20,ZAZIL 20
1,Zilha 42,Inmediata,Calle 42 entre 20 y 25,31,ZILHA42
1,Zulim 34,Inmediata,Calle 34 con Av. 35,20,GRUPO DE LA TORRE
1,Zulim Condos,Inmediata,Diagonal Aeropuerto esq. Av. 45,19,GRUPO DE LA TORRE
