,Desarrollo,Entrega,Dirección,Cantidad de,Master Broker
1,DK Tulum,Inmediata,Region 15,36,DK
1,DreamCatcher Tulum,Abril-2021,Riviera Tulum,12,
1,Duna &amp; Mar,Pendiente,Region 14,9,DUNA Y MAR
1,Dune,Marzo-2021,La Veleta,6,NIMBOS
1,Eclypsse,,Region 15,9,MENOTTO + HAMAKA
1,Edena,Mayo-2022,Av Coba Norte,135,TAO
1,Elementus,Inmediata,Tulum Pueblo,29,TSALACH
1,Eleven Tulum,Pendiente,Luum Zama,15,
1,Elysee,Diciembre-2021,Region 15,4,MENOTTO + HAMAKA
1,Entorno,Octubre-2022,Region 15,Fase 1: 6,ENGEL &amp; VÖLKERS
1,EOS Tulum,Pendiente,Región 4,41,DINTSA
1,Erena,Marzo-2022,Region 15,39,HEI REALTOR
1,Espiritu Tulum,Pendiente,La Veleta,10,
1,Essentia,Inmediata,Luum Zama,18,
1,Estela,Noviembre-2021,Aldea Zama,39,
1,Etnica Ku,Diciembre-2021,Region 15,22,MAX PROPERTIES
1,Flora y Fauna,Inmediata,Tulum Pueblo,14,FLORA Y FAUNA
1,Focus,Pendiente,Region 15,,FOCUS
1,Folklore,Inmediata,La Veleta,9,
1,Fosil,Inmediata,La Veleta,,TERREO STUDIO
1,Gardens Coba,Inmediata,Villas Tulum,78,CITRIC
1,Gardens Priveé,,Av Coba Norte,,CITRIC
1,Giada,Multiples,Aldea Zama,,GIADA
1,Gran Tulum,Marzo-2023,Tulum 101,245,SIMCA
1,Gran Adobe,Mayo-2022,Region 15,7,
1,Grand Legacy Art,Dic-2022,Region 15,24,TULUM FROMSKY
1,Grand Privada,,Region 11,108,ECOREALTY
1,HA Tulum,Pendiente,La Veleta,,
1,Habaneros,Abril-2021,Aldea Zama Premium,7,TSALACH
1,Habaneros KA,Diciembre-2021,Aldea Zama Premium,9,
1,Halun,SUSPENDIDO,Aldea Zama Premium,10,
1,Hanna Tulum,Pendiente,,,
1,Harmony 33,Julio-2021,Region 13,15,NIMBOS
1,Highline Serenity,SUSPENDIDO,Aldea Zama,24,LOS AMIGOS
1,Helena,Dic-2022,Av. Coba,16,TSALACH
1,HOMA,Mayo-2022,Region 15,27,TULUM REAL ESTATE
1,Home Tulum,Pendiente,Villas Tulum,23,
1,Humana Tulum,Pendiente,Tulum 101,63,KELMAN
1,Hyde,Junio-2021,Region 15,15,HYDE
1,IIK Tulum,Torre A: Ago-2021,Av. Cobá,95,COLDWELL BANKER
1,Ikal Condos,Pendiente,Region 15,,
1,IMOX,Pendiente,La Veleta,8,TIERRA PITAYA
1,Inara,Junio-2022,Tulum Centro,18,
1,Irie,Octubre-2021,Aldea Zama Premium,9,SSL DESARROLLOS
1,Itzá,Noviembre-2021,Aldea Zama,18,MAKECH
1,Ixchel Tulum,Inmediata,La Veleta,6,
1,Jade DK,Diciembre-2021,Region 15,56,iMEXICO
1,Jardin Caracol,Febrero-2021,Region 15,14,G&amp;A
1,Jungla Gitana,Pendiente,La Veleta,5,
1,Jungle Lofts,Febrero-2022,Aldea Zama,6,AMORAMAR
1,Kaam,Agosto-2021,Tulum Centro,10,TSALACH
1,Kaana,Agosto-2022,Aldea Zama Premium,9,JUNGLE REALTOR
1,Kaanal,Inmediata,La Veleta,SOLD OUT,CARIBE LUXURY HOMES
1,Kaay,Pendiente,Aldea Zama,29,IQ REAL ESTATE
1,Kabana ,Pendiente,Aldea Zama Premium,16,THE TOP REAL ESTATE
1,Kali,Julio-2022,Aldea Zama,9,ENGEL &amp; VÖLKERS
1,Kalma Tulum,Pendiente,,,AZTRO INMOBILIARIA
1,Kalmuk,Pendiente,Aldea Zama Premium,6,
1,Kamil-Ha,Pendiente,,,
1,Kan Tulum,Pendiente,Region 15,24,
1,Kante,Julio-2022,Aldea Zama,28,HEI REALTOR
1,Kantuun,Fase 1: Dic-2021,La Veleta,36,TULUM TEAM
1,Karanda Tulum,Pendiente,Region 15,100,DEALTURA
1,Kasa Tzalam,Julio-2021,Aldea Zama,30,
1,Kataleya,Pendiente,Luum Zama,10,NEOTERRE
1,Kib Tulum,Diciembre-2022,La Veleta,11,INVERSIONES RIVIERA MAYA
1,Kikaab City,Suspendido,Av. Cobá,127,GRUPO DE LA TORRE
1,Kikaab Tulum,Diciembre-2021,La Veleta,39,GRUPO DE LA TORRE
1,Kin Lum Ha,Marzo-2021,Av. Cobá Norte,8,
1,Kite Residences,Inmediata,Luum Zama,16,KITE
1,Koh Apartments,Diciembre-2022,Aldea Zama Premium,29,HEI REALTOR
1,Kokoon Pueblo,Otoño-2022,Region 15,10,LIVING REALTY INVESTMENT
1,Kukuum,Marzo-2021,Aldea Zama Premium,19,DREAM HOUSES
1,Kuyen,Inmediata,Pendiente,11,
1,La Reserva,Abril-2022,Region 15,42,LUM CAPITAL
1,Laguna Azul,Pendiente,Tulum Pueblo,75,AWAKE
1,LahKah Tulum,Inmediata,Region 15,12,NIMBOS
1,Leonor Tulum,Mayo-2021,Region 15 Mza 82,6,CAOBA LISTINGS
1,Lik Tulum,Julio-2022,Av Coba Sur,21,MAX PROPERTIES
1,Limas Tulum,Fase 1: Ago-2022,Holistika,60,ANCHOR DOWN
1,Loch Tulum,Septiembre-2021,La Veleta,,AQUA
1,Looltum,Inmediata,Aldea Zama,8,
1,Macondo Tulum,Inmediata,Aldea Maya,18,
1,Madara Tulum,Inmediata,La Veleta,6,ONE PRIME
1,Magnolia,Agosto-2021,Aldea Zama,12,HOME PLAYA
1,Maha,Septiembre-2021,Region 15,,ONE PRIME 
1,Maia,Inmediata,La Veleta,12,
1,Makan Townhouses,Pendiente,Region 15,,
1,Maki Tulum District,Pendiente,Region 10,21,CPR CONSTRUCCIONES
1,Manor,Inmediata,Aldea Zama,20,LOTUS
1,Mar y Miel,Pendiente,Aldea Zama,7,LOTUS
1,Maranay,Inmediata,Region 15,14,SOTHEBY'S
1,Mareas Condos,Inmediata,Aldea Zama,18,GMB
1,María Tulum,Marzo-2022,Av. Cobá,69,ANAH
1,Mayaliah,Diciembre-2022,Av. Cobá,95,INMOBILIA
1,Mazala,Pendiente,Region 15,12,
1,Mestiza,Suspendido,Luum Zama,26,LOTUS
1,Menesse Tulum,Marzo-2022,Av. Cobá,142,MENESSE
1,Mirak,Inmediata,Aldea Zama Premium,,
1,Miraluna,Diciembre-2021,Luum Zama,60,MIRALUNA
1,Mistiq,Inmediata,Region 15,96,MISTIQ
1,Mistiq Gardens,Mayo-2022,Region 15,104,MISTIQ
1,Mistiq Temple,Diciembre-2022,Region 15,106,MISTIQ
1,Moots Tulum,Pendiente,La Veleta,18,JEMMOMA
1,Mot Mot,Julio-2021,Aldea Zama,28,BRM
1,Mukul,Pendiente,,,
1,Munay,Noviembre-2022,La Veleta,52,SSL DESARROLLOS
